publishedAt,authorDisplayName,textDisplay,likeCount,merk,Sentiment
2025-06-05T10:49:32Z,@nartpras,Kalau ini cocok di kota aja,0,wuling,Netral
2025-06-05T09:17:35Z,@erickanovianti115,"Kan memang city car, jadi memang tidak disarankan hanya untuk dalam kota",0,wuling,Netral
2025-05-26T12:13:27Z,@bayuSaputra-nx2jb,Harganya berapaan bos..,0,wuling,Netral
2025-05-22T13:11:14Z,@panjiwitjaksono7082,Dari semua kekurangannya memang kamu ga cek dulu mobilnya di dealer sampai test drive�,0,wuling,Negatif
2025-05-17T04:15:26Z,@Jack34323,"Lebih murah Series E1, bentuknya juga lebih manusiawi",0,wuling,Negatif
2025-04-30T11:28:02Z,@PandhitoAgung,Ngakak Speakernya cuma satu�,0,wuling,Negatif
2025-04-27T18:40:51Z,@Samsulbasarmunah,Kelebihan terbaik mobil ini bebas ganjil genap di Jakarta.,1,wuling,Netral
2025-04-19T18:37:46Z,@tathaum8220,"Guys, mau sharing dong tolong jangan di bully ya. Saya cewek single usia 30 sebelumnya pengguna Hyundai Avega matic (nggak bisa nyetir mobil manual) tahun 2014 akhir tapi udah dijual. Kebetulan belum nikah dan masih tinggal bareng orang tua. Orang tua punya Datsun Go+ manual tahun 2015 dan Xenia matic tahun 2020 (ini yang suka saya pinjem sesekali�). Tapi kalo weekdays kerja kebanyakan naik ojol+TJ aja. Rencananya tahun 2025 ini kalau bisa mau beli mobil lagi yang baru dengan budget dibawah 200juta cash. Menurut kalian mending beli Ayla X A/T 1000cc atau nyobain mobil listrik Wuling Air EV lite aja? Udah nanya sama sales mobil keduanya budget-nya sama-sama Rp170 juta-an. Kebetulan selain harganya setara, fitur dan desain-nya juga hampir mirip alias minimalis. Listrik rumah orang tua bisa untuk charge mobil karena daya 4400watt. TAPI jujur kita sekeluarga masih trust issue beli mobil listrik. Mohon saran dan pendapatnya. Terima kasih.",1,wuling,Netral
2025-05-14T07:28:45Z,@andhikas7245,"Tergantung kebutuhan, ayla enak tapi sebisa mungkin jangan matik karena tidak seirit manual, pajak dan perawatan maticnya yang lebih mahal. Air ev kalau buat dalam kota juga jadi pilihan, irit, mungil, pajak murah, perawatan smp 5-8 tahun tidak terlalu besar.",1,wuling,Netral
2025-05-14T07:41:15Z,@tathaum8220,Setuju. Tapi sayangnya saya nggak bisa nyetir manual. Pertimbangan saya dan orang tua saya berpikir mobil ayla bisa dipakai hingga 10 tahun bahkan lebih. Kalo mobil listrik seperti masih belum teruji. Amit amitnya kalo dealer-nya maaf tutup. Maka garansinya nggak berlaku lagi.,0,wuling,Netral
2025-04-15T04:14:16Z,@jonisin5498,"buset speaker cuman di kasi satu, pelit banget ya ....",0,wuling,Negatif
2025-03-23T13:33:43Z,@andreasthamsil4839,"Di negaranya harga tidak sampai 100 juta. Di sini harganya 300 juta,",0,wuling,Netral
2025-03-11T19:20:11Z,@ZayDik,Bang dirumah pakai daya brpa watt? Terus charge nya berapa menit sampai full,0,wuling,Netral
2025-02-28T00:30:40Z,@Paul-vj6wg,Jual aja om 50 juta laku kali....,0,wuling,Negatif
2025-02-09T07:33:36Z,@ariefdharmawan71,"infonya sangat padat, berisi, apa adanya... sangat membantu para calon buyer...",4,wuling,Netral
2025-02-05T13:31:10Z,@galihsusantoo,Dari maksimal ke habis baterai bisa berapa KM ?,0,wuling,Netral
2025-01-26T05:01:32Z,@restup7142,Ada harga ada barang,2,wuling,Netral
2025-01-21T01:55:10Z,@lauraolla1,Makasih author..jadi rada mikir hehe better J 6 wlu mahal 2 kali lipat tapi enak banget waktu pas saya test drive kemarin,0,wuling,Positif
2025-01-18T10:56:31Z,@sofyan5598,Mobil kecil kok buat jarak jauh,0,wuling,Negatif
2025-01-17T20:06:22Z,@outsidethebox262,"Mau coba pergi ke dieng sama teman teman naik air ev. Semua tinggi rata rata 175 cm, berat 80 kg x 5... sepertinya lucu...",2,wuling,Netral
2025-01-18T15:25:38Z,@HokiBanget-q6c,Uji nyali,0,wuling,Netral
2025-01-22T14:52:38Z,@megachan4648,Wah jangan,0,wuling,Negatif
2025-01-14T03:23:21Z,@lenicen5059,Spare part dan perawatan nya mahal bang ?,3,wuling,Netral
2025-01-14T13:28:19Z,@NuansaKucing,"ini belum pernah servis ganti part kak, jadi belum tau sih",0,wuling,Netral
2025-01-07T10:10:18Z,@tegarsukma90,Listrik rumah daya nya berapa bang..,3,wuling,Netral
2025-01-14T13:27:57Z,@NuansaKucing,7000 banggg,0,wuling,Netral
2025-01-01T04:10:32Z,@hendradjaja7821,Ragu  dan  rugi ...... mobil   mainan,1,wuling,Negatif
2024-12-30T14:40:45Z,@ladabanyu2955,"buat di tanjakan air ev ada sistem anti mundur om cuma 2 detik atau kuran lebihnya, coba aja pas tanjakan atau jalan gak agak miring di rem sampai berhenti trus di lepas remnya ada sistem yang nahan dikit supaya tidak mundur, kalau kelamaan di lepas dia akan loss mundur tapi ada beberapa sekian detik akan bertahan dulu, saya tahu setelah 1 bulan pakai.wkwwkk",1,wuling,Netral
2024-12-31T04:11:52Z,@NuansaKucing,wkwkwk iya om ternyata. setelah di coba coba. thankyou om infonya,0,wuling,Netral
2024-12-14T14:50:58Z,@ubisolim6515,"Kalau punya garasi gede dan punya uang lebih mending ambil binguo kalau suka yang garansi seumur hidup, kalau ga mau garansi seumur hidup bisa pilih BYD atto atau dolphin",3,wuling,Netral
2025-01-14T13:28:47Z,@NuansaKucing,bener ini,1,wuling,Positif
2024-11-20T23:58:04Z,@ekawidjaja1,Niat belinya apa sih? Jika kami karena masalah ganjil genap sudah beres.  Kalau mau nyaman total.beli merk merk mahal. yang Rp nya M..lalu komentarilah.,3,wuling,Netral
2025-01-14T13:31:47Z,@NuansaKucing,"memang gblh ya mengomentari mobil sndiri? share pendapt pribadi. apa memang kalo review mobil harus di positifnya aja dibahas? niat saya beli mobil ini? buat opresional saya. saya buat video ini jg pengalaman saya. sampai detik ini jg saya pake mobil ini, kenapa memangnya dengan pendapat saya?",3,wuling,Netral
2024-11-17T03:26:29Z,@Anarki10,"mobil ini cocok untuk pengganti motor buat orang yang ga bisa naik motor/sudah punya mobil SUV/Family car lain, untuk ke tempat2 yang gangnya sempit dan parkirnya susah<br>cocok untuk mobil 1-2 orang, dan ga cocok sebagai mobil keluarga (bisa aja kalo di paksakan, cuma kurang enak)<br>kalo belum punya mobil sebenarnya banyak pilihan lain di range harga tersebut, hanya saja bukan electric",11,wuling,Netral
2025-01-07T03:59:23Z,@stayonjakarta9193,1 air ev : 20 motor.<br>Mending jadi juragan motor 😂,1,wuling,Netral
2025-01-08T00:31:59Z,@Anarki10,@ buat rental resikonya mati sekarang wkwkwk,0,wuling,Negatif
2025-01-16T10:30:24Z,@debyrosalina2761,"Bisa jd mobil keluarga kalau anaknya masih balita, maksimal 2 anak 😁",0,wuling,Netral
2024-11-15T17:17:18Z,@papoylana4944,Bagus ni saya suka reviewer gini jujur ga neko2 to the point bagus2 engga2 gak kayak youtuber sebelah dah beli bangga2in gak jelas,4,wuling,Positif
2024-11-08T10:45:19Z,@Ditoaditz,Mau ngmbil ragu2 karena gda fast charging nya,0,wuling,Negatif
2024-12-03T08:51:45Z,@benjinero3207,Ada fast chargernya om yang 16 ampere khusus long range. Yang std/lite dpt standard charger 6 ampere. Semua AC charging yach,0,wuling,Netral
2024-11-02T23:39:54Z,@retsuhyde,Singkat jelas padat 😁,6,wuling,Netral
2024-10-29T10:26:52Z,@ekokusumo4583,Mobil ini cocok buat ibu2 antar anak ke sekolah dan belanja disekitar komplek,17,wuling,Netral
2025-02-13T14:52:52Z,@windaauliani2961,Betul,0,wuling,Netral
2024-10-29T01:24:14Z,@consciousplanet8887,ingin murah ingin semua fasilitas mobil yang lebih mahal,2,wuling,Negatif
2024-10-29T00:10:19Z,@muhammadM-v7x,Review jujur dan on point,4,wuling,Positif
2024-10-28T10:22:21Z,@theforge4591,"situ 180 cm, gimana yang dibawah itu. ga umum tingginya apa sarkasme ini😅",0,wuling,Netral
2024-10-25T04:16:42Z,@zainalarifinjogja8993,review yang bagus dan bermanfaat. Bang kalo sudah 30% apakah memang tidak bisa digunakan lagi sampai sisa 10% atau 15% ?,3,wuling,Netral
2025-01-06T15:42:31Z,@dri1811ya,"Klo gue nangkep nya yang diomongin bapake, kalo batere udah &lt;30% indicator range nya udah ga bisa di percaya, bisa2 langsung mogok semau nya dia",0,wuling,Negatif
2024-10-19T17:55:32Z,@kusbian6577,Sebelumnya tes drive dlu ga bang,1,wuling,Netral
2024-12-05T16:12:09Z,@NuansaKucing,iyaaa test drive. awal2 test enak dan seneng pasti kan,0,wuling,Positif
2025-02-25T03:54:36Z,@davids13th,@@NuansaKucing waktu test drive bareng sama istri?,0,wuling,Netral
2024-10-13T12:18:44Z,@irabartolomeus477,Buset ini jujur banget hehehe,4,wuling,Netral
2024-10-08T09:31:27Z,@atobalong5816,Hill start assist nya ada kok. Sy sudah pakai air ev lite 200km selama 10 bulan,4,wuling,Netral
2024-09-28T16:23:35Z,@hnrrazr2705,"Klo transmisi model dial begitu aman gak, klo gak sengaja diputer saat jalan? Apalagi klo punya anak2 kecil begitu.",1,wuling,Netral
2024-12-03T08:46:50Z,@benjinero3207,"Aman, karena injak rem dulu baru bisa pindah gigi. Klo diputar2 aja bisa tapi gak ada efeknya😄",1,wuling,Netral
2024-09-28T00:23:38Z,@danafina,HSA adl fitur penting 😢 tapi ga ada 😮,1,wuling,Negatif
2024-09-23T03:37:55Z,@b.f.rchannel1997,Di Kalimantan selatan sini banyak yang dijual lagi,2,wuling,Netral
2024-11-07T13:53:00Z,@budidarmawan3956,"Info bagus. sebab memang untuk saat ini mobil ev hanya cocok untuk Jakarta yang ada ganjil/genap, macet dan jalan yang panjang.",0,wuling,Netral
2025-01-18T15:26:40Z,@HokiBanget-q6c,Harga brp bang disana?,0,wuling,Netral
2025-01-21T02:18:34Z,@hafidhadhiet,denger2 karena di luar pulau jawa sparepartnya susah ya?,0,wuling,Netral
2024-09-23T01:13:32Z,@lestguna1176,"Karang muncul lite 300km om, pengguna lite lama gimana ini apakah bisa di upgrade baterainya? Wkwkwk",1,wuling,Netral
2024-09-23T02:54:59Z,@NuansaKucing,Iyaaaa belum rejeki 😭😭<br>Minta tuker bisa kali yak wkwkwkwk,0,wuling,Netral
2024-09-22T06:43:34Z,@orionlangit9555,"Thanks sharing nya...mau tanya apa Air EV di Jakarta siang terik , AC dingin kah ? Jika tunggu di mobil parkiran . Sy sering tunggu jemput anak sekolah setiap hari ..😊",6,wuling,Netral
2024-10-15T11:40:50Z,@aloysiusbram1506,Dingin banget om,0,wuling,Netral
2024-11-05T12:41:30Z,@jimmylee6659,mobil ev semua dingin karena apa...mobil BBM mesin nya yang bikin tambah panas kabin makanya kadang ac kebanting pas cuaca panas...,2,wuling,Netral
2024-11-05T12:45:32Z,@orionlangit9555,@@aloysiusbram1506 terima kasih info nya,0,wuling,Netral
2024-11-05T12:45:52Z,@orionlangit9555,@@jimmylee6659 terima kasih info nya,0,wuling,Netral
2024-11-08T10:02:49Z,@belalangmerah82,"Jangan lupa pakein kaca film yang bagus buat nangkal panas, memang mahal tapi worthed bgt loh",1,wuling,Netral
2024-09-21T22:24:27Z,@ringoooringooo2190,"lumayan buat pengganti motor, menghindari begal....",9,wuling,Netral
2024-11-17T03:20:30Z,@Anarki10,"buat ngindarin begal motor oke ni, karena ga bisa bergantung nyawa sama pol.. Yang tau tau saja",1,wuling,Netral
